No.	Quantity	Designator	Footprint	Value	Device
No.	数量	位号	封装	值	器件
1	1	BUZZER1	BUZ-SMD_L4.0-W4.0-P3.50-L	4kHz	FUET-4020
2	7	C1,C4,C5,C9,C10,C12,C13	C0402	10uF	CAP_0402
3	4	C2,C6,C11,C14	C0402	100nF	CAP_0402
4	1	C3	C0402	1uF	CAP_0402
5	1	C7	C0402	2.2uF	CAP_0402
6	1	C8	C0402	10nF	CAP_0402
7	1	D3	SOD-123F_L2.7-W1.6-LS3.8-RD		1N4148W
8	1	E1	SOD-323_L1.8-W1.3-LS2.5-BI		CESDBLC5V0D3
9	1	L1	ANT-SMD_L3.1-W1.6		RFECA3216060A1T
10	1	LED1	LED_0402		LED_0402-G
11	1	Q1	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		LMUN2233LT1G
12	2	U2,U4	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		ME6211A33M3G-N
13	1	R1	R0402	10K	Res_0402
14	4	R2,R3,R4,R5	R0402	5.1K	Res_0402
15	1	R6	R0402	510R	Res_0402
16	1	R7	R0402	0R	Res_0402
17	1	R9	R0402	1K	Res_0402
18	1	SW1	KEY-SMD_TX-1010-X-X		TS-1010-B-A
19	1	U1	LGA-48_L7.0-W7.0-P0.50-BL-EP5.0		ESP32-PICO-V3
20	1	U3	LGA-14_L3.0-W2.5-P0.50-TL		ICM-42688-P
21	1	USB1	USB-TYPE-C-SMD_TYPE-C-24PINMALE		TYPE-C-24PINMALE
22	1	USB2	USB-C-SMD_U263-241N-4BQC14		U263-241N-4BQC14
23	8	Nut/螺母	M1.2 * Hight 2.5mm * outer diameter 2mm / M1.2 * 高2.5mm * 外径2mm		Copper nut/铜镶件滚花螺母
24	8	Screw/螺丝	CM1.2 * Length 3mm / M1.2 * 长度3mm		Phillips flat head machine screw/十字薄平头机牙螺丝
