No.	Quantity	Designator	Footprint	Value	Device
No.	数量	位号	封装	值	器件
1	2	C1,C5	C0402	10nF	CL05B103KB5NNNC
2	3	C2,C7,C10	C0402	10uF	CL05A106MQ5NUNC
3	4	C3,C6,C14,C16	C0402	1uF	CL05A105KA5NQNC
4	5	C4,C9,C13,C15,C17	C0402	100nF	CL05B104KO5NNNC
5	2	C8,C12	C0402	15pF	0402CG150J500NT
6	1	C11	C0402	2.2uF	CL05A225MQ5NSNC
7	1	L1	ANT-SMD_L3.1-W1.6		RFECA3216060A1T
8	1	LED1	LED0402-RD_GREEN		XL-1005UGC_C965793
9	1	LED2	LED0402-RD		XL-1005UBC_C22355736
10	2	R1,R2	R0402	10kΩ	0402WGF1002TCE
11	1	R3	R0402	1kΩ	0402WGF1001TCE
12	1	U1	LGA-14_L3.0-W2.5-P0.50-TL		ICM-42688-P
13	1	U2	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		ME6211A33M3G-N
14	1	U3	QFN-32_L5.0-W5.0-P0.50-TL-EP3.7		ESP32-C3FH4
15	1	U4	SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL		TTP223-BA6-TD
16	1	X1	CRYSTAL-SMD_4P-L2.0-W1.6-BL	40MHz	TAXM40M4ZHBCDT2T
17	1	Type-C	Type-C	带板TYPEC公头/TYPEC male with board	TYPE C拉伸公头16P立贴数据OTG取电带板5.1k四焊点L9.5mm
18	1	TOUCH	copper foil	圆形单面导电10mm/Round single-side conductive 10mm	导电铜箔/copper foil
