No.	Quantity	Designator	Footprint	Value	Device
1	1	C1	C0603	10uF	CAP_0603
2	1	C2	C0603	22uF	CAP_0603
3	1	C3	C0603	100nF	CAP_0603
4	1	CN1	CONN-TH_3P-P2.54_2501S-3P		ZX-XH2.54-3PZZ
5	1	CN2	AUDIO-TH_PJ-3200		PJ-3200
6	1	H1	HDR-TH_2P-P2.54-V-M-1		HDR-M_2.54_1x2P
7	1	LEDG	LED_0402		LED_0402-G
8	1	MK1	WIRELM-SMD_ESP-07S	2.4GHz	ESP-07S_C82895
9	1	R1	R0603	1K	Res_0603
10	1	R2	R0603	100R	Res_0603
11	1	R3	R0603	10K	Res_0603
12	1	SW1	SW-TH_SS12D07VG3		SS12D07VG3_C22435632
13	1	SW2	KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6		SKRPACE010
14	1	U1	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR		AMS1117-3.3_C6186
